timestamp            | event                | lane   | user                     | bot   | server                  | actual     | expected   | drift_ns     | details
1778254416.237358700 | TIMING               |         | SuperGrey-bot            | true  | zh.wikisource.org        | 0ns        | 2ms        | -2000000     |                                                                         
1778254416.237625900 | INCOMING             | BOT     | Zabe                     | true  | en.wikinews.org          |            |            |              | ?? INCOMING BOT event id=e131fd90-1da5-4c05-8389-64e7599c2cf5 user=Some(
1778254416.237878700 | DEADLINE_MET         |         | SuperGrey-bot            | true  | zh.wikisource.org        | 0ns        | 2ms        | -2000000     |                                                                         
1778254416.238065000 | ENQUEUE              | BOT     | Zabe                     | true  | en.wikinews.org          |            |            |              | ➕ ENQUEUE BOT event id=e131fd90-1da5-4c05-8389-64e7599c2cf5 user=Some("Z
1778254416.238365700 | DEQUEUE              | BOT     | Zabe                     | true  | en.wikinews.org          |            |            |              | 📤 DEQUEUE BOT event id=e131fd90-1da5-4c05-8389-64e7599c2cf5 user=Some("Z
1778254416.238670900 | TIMING               |         | Zabe                     | true  | en.wikinews.org          | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.239214400 | DEADLINE_MET         |         | Zabe                     | true  | en.wikinews.org          | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.239450200 | INCOMING             | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ?? INCOMING BOT event id=4c856f9e-fabb-4596-82ca-6c7ced66b700 user=Some(
1778254416.239705600 | ENQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ➕ ENQUEUE BOT event id=4c856f9e-fabb-4596-82ca-6c7ced66b700 user=Some("S
1778254416.240204900 | DEQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | 📤 DEQUEUE BOT event id=4c856f9e-fabb-4596-82ca-6c7ced66b700 user=Some("S
1778254416.240608200 | INCOMING             | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ?? INCOMING BOT event id=b683560a-e200-4614-bbb2-7fdccade8970 user=Some(
1778254416.241113000 | TIMING               |         | SuperGrey-bot            | true  | zh.wikisource.org        | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.241446100 | ENQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ➕ ENQUEUE BOT event id=b683560a-e200-4614-bbb2-7fdccade8970 user=Some("S
1778254416.241877900 | DEADLINE_MET         |         | SuperGrey-bot            | true  | zh.wikisource.org        | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.242429800 | DEQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | 📤 DEQUEUE BOT event id=b683560a-e200-4614-bbb2-7fdccade8970 user=Some("S
1778254416.242776400 | INCOMING             | BOT     | InternetArchiveBot       | true  | ce.wikipedia.org         |            |            |              | ?? INCOMING BOT event id=7d2d923e-629c-4767-a5c7-a90238150b23 user=Some(
1778254416.243342600 | TIMING               |         | SuperGrey-bot            | true  | zh.wikisource.org        | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.243694900 | ENQUEUE              | BOT     | InternetArchiveBot       | true  | ce.wikipedia.org         |            |            |              | ➕ ENQUEUE BOT event id=7d2d923e-629c-4767-a5c7-a90238150b23 user=Some("I
1778254416.243961700 | DEADLINE_MET         |         | SuperGrey-bot            | true  | zh.wikisource.org        | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.244318000 | INCOMING             | HUMAN   | Zafer                    | false | tr.wikipedia.org         |            |            |              | ?? INCOMING HUMAN event id=91265faf-5a56-45f5-bde9-0faebf4bffcc user=Som
1778254416.244628000 | DEQUEUE              | BOT     | InternetArchiveBot       | true  | ce.wikipedia.org         |            |            |              | 📤 DEQUEUE BOT event id=7d2d923e-629c-4767-a5c7-a90238150b23 user=Some("I
1778254416.244992500 | ENQUEUE              | HUMAN   | Zafer                    | false | tr.wikipedia.org         |            |            |              | ➕ ENQUEUE HUMAN event id=91265faf-5a56-45f5-bde9-0faebf4bffcc user=Some(
1778254416.245401200 | TIMING               |         | InternetArchiveBot       | true  | ce.wikipedia.org         | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.245891400 | DEADLINE_MET         |         | InternetArchiveBot       | true  | ce.wikipedia.org         | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.246234500 | INCOMING             | BOT     | SchlurcherBot            | true  | commons.wikimedia.org    |            |            |              | ?? INCOMING BOT event id=33f9ba93-c2c4-444a-8f5d-f9def131d224 user=Some(
1778254416.246471900 | DEQUEUE              | HUMAN   | Zafer                    | false | tr.wikipedia.org         |            |            |              | 📤 DEQUEUE HUMAN event id=91265faf-5a56-45f5-bde9-0faebf4bffcc user=Some(
1778254416.246657400 | ENQUEUE              | BOT     | SchlurcherBot            | true  | commons.wikimedia.org    |            |            |              | ➕ ENQUEUE BOT event id=33f9ba93-c2c4-444a-8f5d-f9def131d224 user=Some("S
1778254416.246955100 | TIMING               |         | Zafer                    | false | tr.wikipedia.org         | 300ns      | 2ms        | -1999700     |                                                                         
1778254416.247376200 | INCOMING             | HUMAN   | Dave.Dunford             | false | commons.wikimedia.org    |            |            |              | ?? INCOMING HUMAN event id=adcd5db4-4783-45da-ad95-8747252e5f3a user=Som
1778254416.247629800 | DEADLINE_MET         |         | Zafer                    | false | tr.wikipedia.org         | 300ns      | 2ms        | -1999700     |                                                                         
1778254416.247876200 | ENQUEUE              | HUMAN   | Dave.Dunford             | false | commons.wikimedia.org    |            |            |              | ➕ ENQUEUE HUMAN event id=adcd5db4-4783-45da-ad95-8747252e5f3a user=Some(
1778254416.248242600 | DEQUEUE              | HUMAN   | Dave.Dunford             | false | commons.wikimedia.org    |            |            |              | 📤 DEQUEUE HUMAN event id=adcd5db4-4783-45da-ad95-8747252e5f3a user=Some(
1778254416.248831600 | TIMING               |         | Dave.Dunford             | false | commons.wikimedia.org    | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.249279100 | DEADLINE_MET         |         | Dave.Dunford             | false | commons.wikimedia.org    | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.249750700 | DEQUEUE              | BOT     | SchlurcherBot            | true  | commons.wikimedia.org    |            |            |              | 📤 DEQUEUE BOT event id=33f9ba93-c2c4-444a-8f5d-f9def131d224 user=Some("S
1778254416.250024600 | TIMING               |         | SchlurcherBot            | true  | commons.wikimedia.org    | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.250318300 | DEADLINE_MET         |         | SchlurcherBot            | true  | commons.wikimedia.org    | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.608286200 | INCOMING             | BOT     | Emijrpbot                | true  | commons.wikimedia.org    |            |            |              | ?? INCOMING BOT event id=52b8708b-99c8-4fa9-8eb9-44e8127a108d user=Some(
1778254416.609103900 | ENQUEUE              | BOT     | Emijrpbot                | true  | commons.wikimedia.org    |            |            |              | ➕ ENQUEUE BOT event id=52b8708b-99c8-4fa9-8eb9-44e8127a108d user=Some("E
1778254416.609724000 | INCOMING             | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ?? INCOMING BOT event id=adb46611-a33a-48db-98fe-c34ed6a95705 user=Some(
1778254416.610743200 | ENQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ➕ ENQUEUE BOT event id=adb46611-a33a-48db-98fe-c34ed6a95705 user=Some("S
1778254416.611635400 | INCOMING             | HUMAN   | OBCPO1                   | false | www.wikidata.org         |            |            |              | ?? INCOMING HUMAN event id=8c264fb0-6873-4795-b4f5-920bfbacd56c user=Som
1778254416.612240500 | ENQUEUE              | HUMAN   | OBCPO1                   | false | www.wikidata.org         |            |            |              | ➕ ENQUEUE HUMAN event id=8c264fb0-6873-4795-b4f5-920bfbacd56c user=Some(
1778254416.614999500 | INCOMING             | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ?? INCOMING BOT event id=6147f710-ec9e-4425-a6a5-505b28f05d43 user=Some(
1778254416.616129400 | DEQUEUE              | BOT     | Emijrpbot                | true  | commons.wikimedia.org    |            |            |              | 📤 DEQUEUE BOT event id=52b8708b-99c8-4fa9-8eb9-44e8127a108d user=Some("E
1778254416.616680600 | ENQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ➕ ENQUEUE BOT event id=6147f710-ec9e-4425-a6a5-505b28f05d43 user=Some("S
1778254416.617643700 | TIMING               |         | Emijrpbot                | true  | commons.wikimedia.org    | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.618123000 | DEADLINE_MET         |         | Emijrpbot                | true  | commons.wikimedia.org    | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.618561400 | INCOMING             | BOT     | SchlurcherBot            | true  | commons.wikimedia.org    |            |            |              | ?? INCOMING BOT event id=6da1d6e9-2278-43d0-b8ec-29bd47bf54b2 user=Some(
1778254416.619039600 | DEQUEUE              | HUMAN   | OBCPO1                   | false | www.wikidata.org         |            |            |              | 📤 DEQUEUE HUMAN event id=8c264fb0-6873-4795-b4f5-920bfbacd56c user=Some(
1778254416.619881100 | OVERFLOW_DROP        | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | [1778254416.618895200] OVERFLOW DROP BOT dropped=[event id=adb46611-a33a
1778254416.620492000 | TIMING               |         | OBCPO1                   | false | www.wikidata.org         | 400ns      | 2ms        | -1999600     |                                                                         
1778254416.621341100 | ENQUEUE              | BOT     | SchlurcherBot            | true  | commons.wikimedia.org    |            |            |              | ➕ ENQUEUE BOT event id=6da1d6e9-2278-43d0-b8ec-29bd47bf54b2 user=Some("S
1778254416.622418900 | DEADLINE_MET         |         | OBCPO1                   | false | www.wikidata.org         | 400ns      | 2ms        | -1999600     |                                                                         
1778254416.623698900 | DEQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | 📤 DEQUEUE BOT event id=6147f710-ec9e-4425-a6a5-505b28f05d43 user=Some("S
1778254416.624077500 | INCOMING             | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ?? INCOMING BOT event id=300d5f41-b3fc-42d7-8cc3-6ad9c1172adf user=Some(
1778254416.624333000 | TIMING               |         | SuperGrey-bot            | true  | zh.wikisource.org        | 0ns        | 2ms        | -2000000     |                                                                         
1778254416.624776600 | ENQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ➕ ENQUEUE BOT event id=300d5f41-b3fc-42d7-8cc3-6ad9c1172adf user=Some("S
1778254416.625071800 | DEADLINE_MET         |         | SuperGrey-bot            | true  | zh.wikisource.org        | 0ns        | 2ms        | -2000000     |                                                                         
1778254416.625599800 | INCOMING             | HUMAN   | Kandarpajit Kallol       | false | www.wikidata.org         |            |            |              | ?? INCOMING HUMAN event id=4ab321fd-a070-442c-ac37-ce75dd88f569 user=Som
1778254416.626052700 | DEQUEUE              | BOT     | SchlurcherBot            | true  | commons.wikimedia.org    |            |            |              | 📤 DEQUEUE BOT event id=6da1d6e9-2278-43d0-b8ec-29bd47bf54b2 user=Some("S
1778254416.626396100 | ENQUEUE              | HUMAN   | Kandarpajit Kallol       | false | www.wikidata.org         |            |            |              | ➕ ENQUEUE HUMAN event id=4ab321fd-a070-442c-ac37-ce75dd88f569 user=Some(
1778254416.627733100 | TIMING               |         | SchlurcherBot            | true  | commons.wikimedia.org    | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.628175600 | INCOMING             | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ?? INCOMING BOT event id=e75c2c63-4d8b-4f19-85bf-79a963be5b1a user=Some(
1778254416.628627400 | DEADLINE_MET         |         | SchlurcherBot            | true  | commons.wikimedia.org    | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.629071600 | ENQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ➕ ENQUEUE BOT event id=e75c2c63-4d8b-4f19-85bf-79a963be5b1a user=Some("S
1778254416.629517100 | DEQUEUE              | HUMAN   | Kandarpajit Kallol       | false | www.wikidata.org         |            |            |              | 📤 DEQUEUE HUMAN event id=4ab321fd-a070-442c-ac37-ce75dd88f569 user=Some(
1778254416.630056700 | TIMING               |         | Kandarpajit Kallol       | false | www.wikidata.org         | 200ns      | 2ms        | -1999800     |                                                                         
1778254416.630571400 | DEADLINE_MET         |         | Kandarpajit Kallol       | false | www.wikidata.org         | 200ns      | 2ms        | -1999800     |                                                                         
1778254416.631694400 | DEQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | 📤 DEQUEUE BOT event id=300d5f41-b3fc-42d7-8cc3-6ad9c1172adf user=Some("S
1778254416.632920900 | TIMING               |         | SuperGrey-bot            | true  | zh.wikisource.org        | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.634104800 | DEADLINE_MET         |         | SuperGrey-bot            | true  | zh.wikisource.org        | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.635000500 | DEQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | 📤 DEQUEUE BOT event id=e75c2c63-4d8b-4f19-85bf-79a963be5b1a user=Some("S
1778254416.635499700 | TIMING               |         | SuperGrey-bot            | true  | zh.wikisource.org        | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.635928300 | DEADLINE_MET         |         | SuperGrey-bot            | true  | zh.wikisource.org        | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.810060000 | INCOMING             | HUMAN   | Favete linguistis        | false | commons.wikimedia.org    |            |            |              | ?? INCOMING HUMAN event id=409ac56d-5e51-4c7d-922d-08eb4a59242a user=Som
1778254416.811010100 | ENQUEUE              | HUMAN   | Favete linguistis        | false | commons.wikimedia.org    |            |            |              | ➕ ENQUEUE HUMAN event id=409ac56d-5e51-4c7d-922d-08eb4a59242a user=Some(
1778254416.811690200 | INCOMING             | HUMAN   | Dave.Dunford             | false | commons.wikimedia.org    |            |            |              | ?? INCOMING HUMAN event id=f63f1caf-8557-47d1-89db-8082b5753939 user=Som
1778254416.812296100 | ENQUEUE              | HUMAN   | Dave.Dunford             | false | commons.wikimedia.org    |            |            |              | ➕ ENQUEUE HUMAN event id=f63f1caf-8557-47d1-89db-8082b5753939 user=Some(
1778254416.813259100 | INCOMING             | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ?? INCOMING BOT event id=7526f9cd-e28a-4b16-8496-9d0044b447f3 user=Some(
1778254416.813893200 | ENQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ➕ ENQUEUE BOT event id=7526f9cd-e28a-4b16-8496-9d0044b447f3 user=Some("S
1778254416.815284200 | INCOMING             | HUMAN   | TimSC                    | false | commons.wikimedia.org    |            |            |              | ?? INCOMING HUMAN event id=9182d85f-3350-41c5-829c-6182f356d164 user=Som
1778254416.817433000 | ENQUEUE              | HUMAN   | TimSC                    | false | commons.wikimedia.org    |            |            |              | ➕ ENQUEUE HUMAN event id=9182d85f-3350-41c5-829c-6182f356d164 user=Some(
1778254416.821304800 | INCOMING             | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ?? INCOMING BOT event id=65d0396f-615b-48ff-b058-53036aa92d96 user=Some(
1778254416.821990300 | DEQUEUE              | HUMAN   | Favete linguistis        | false | commons.wikimedia.org    |            |            |              | 📤 DEQUEUE HUMAN event id=409ac56d-5e51-4c7d-922d-08eb4a59242a user=Some(
1778254416.822420700 | ENQUEUE              | BOT     | SuperGrey-bot            | true  | zh.wikisource.org        |            |            |              | ➕ ENQUEUE BOT event id=65d0396f-615b-48ff-b058-53036aa92d96 user=Some("S
1778254416.822860000 | TIMING               |         | Favete linguistis        | false | commons.wikimedia.org    | 100ns      | 2ms        | -1999900     |                                                                         
1778254416.823103400 | INCOMING             | HUMAN   | Jbhuvan                  | false | www.wikidata.org         |            |            |              | ?? INCOMING HUMAN event id=6f48a470-91ee-41a7-8b53-ab8370a7af68 user=Som
1778254416.823688300 | DEADLINE_MET         |         | Favete linguistis        | false | commons.wikimedia.org    | 100ns      | 2ms        | -1999900     |                                                                         
